━━━ Training ━━━
{'loss': 1.0225, 'grad_norm': 9.490289688110352, 'learning_rate': 2.863029943670323e-05, 'epoch': 0.57}                                         
{'loss': 1.0382, 'grad_norm': 9.985294342041016, 'learning_rate': 2.854135784168396e-05, 'epoch': 0.58}                                         
{'loss': 0.9407, 'grad_norm': 9.63687515258789, 'learning_rate': 2.845241624666469e-05, 'epoch': 0.59}                                          
{'loss': 1.0961, 'grad_norm': 10.579981803894043, 'learning_rate': 2.836347465164542e-05, 'epoch': 0.6}                                         
{'loss': 0.9547, 'grad_norm': 5.860880374908447, 'learning_rate': 2.827453305662615e-05, 'epoch': 0.61}                                         
{'loss': 0.9627, 'grad_norm': 5.891140937805176, 'learning_rate': 2.818559146160688e-05, 'epoch': 0.62}                                         
{'loss': 1.1213, 'grad_norm': 7.074782371520996, 'learning_rate': 2.8096649866587606e-05, 'epoch': 0.63}                                        
{'loss': 1.0271, 'grad_norm': 7.665778160095215, 'learning_rate': 2.800770827156834e-05, 'epoch': 0.64}                                         
{'loss': 0.928, 'grad_norm': 4.875195026397705, 'learning_rate': 2.7918766676549065e-05, 'epoch': 0.65}                                         
{'loss': 0.9461, 'grad_norm': 5.253727912902832, 'learning_rate': 2.7829825081529795e-05, 'epoch': 0.66}                                        
{'loss': 1.0638, 'grad_norm': 7.587604522705078, 'learning_rate': 2.7740883486510528e-05, 'epoch': 0.67}                                        
{'loss': 1.0748, 'grad_norm': 10.370613098144531, 'learning_rate': 2.7651941891491254e-05, 'epoch': 0.68}                                       
{'loss': 0.9968, 'grad_norm': 7.019655227661133, 'learning_rate': 2.7563000296471984e-05, 'epoch': 0.69}                                        
{'loss': 1.0032, 'grad_norm': 7.625202655792236, 'learning_rate': 2.7474058701452714e-05, 'epoch': 0.7}                                         
{'loss': 1.032, 'grad_norm': 7.328126430511475, 'learning_rate': 2.7385117106433443e-05, 'epoch': 0.71}                                         
{'loss': 1.1029, 'grad_norm': 7.825249671936035, 'learning_rate': 2.729617551141417e-05, 'epoch': 0.73}                                         
{'loss': 0.9071, 'grad_norm': 4.832241058349609, 'learning_rate': 2.7207233916394903e-05, 'epoch': 0.74}                                        
{'loss': 0.9466, 'grad_norm': 5.2086334228515625, 'learning_rate': 2.711829232137563e-05, 'epoch': 0.75}                                        
{'loss': 0.9274, 'grad_norm': 10.89358139038086, 'learning_rate': 2.702935072635636e-05, 'epoch': 0.76}                                         
{'loss': 1.0534, 'grad_norm': 7.946225643157959, 'learning_rate': 2.6940409131337092e-05, 'epoch': 0.77}                                        
{'loss': 1.0458, 'grad_norm': 7.219000339508057, 'learning_rate': 2.6851467536317818e-05, 'epoch': 0.78}                                        
{'loss': 0.9582, 'grad_norm': 9.700977325439453, 'learning_rate': 2.6762525941298548e-05, 'epoch': 0.79}                                        
{'loss': 1.0921, 'grad_norm': 5.816756725311279, 'learning_rate': 2.6673584346279277e-05, 'epoch': 0.8}                                         
{'loss': 1.0515, 'grad_norm': 4.880684852600098, 'learning_rate': 2.6584642751260007e-05, 'epoch': 0.81}                                        
{'loss': 0.9703, 'grad_norm': 5.902005672454834, 'learning_rate': 2.6495701156240733e-05, 'epoch': 0.82}                                        
{'loss': 0.9318, 'grad_norm': 6.173126697540283, 'learning_rate': 2.6406759561221466e-05, 'epoch': 0.83}                                        
{'loss': 1.0085, 'grad_norm': 5.237519264221191, 'learning_rate': 2.6317817966202196e-05, 'epoch': 0.84}                                        
{'loss': 0.9094, 'grad_norm': 6.041046142578125, 'learning_rate': 2.6228876371182922e-05, 'epoch': 0.85}                                        
{'loss': 0.9587, 'grad_norm': 8.87673282623291, 'learning_rate': 2.6139934776163655e-05, 'epoch': 0.86}
{'loss': 0.9317, 'grad_norm': 6.105888843536377, 'learning_rate': 2.605099318114438e-05, 'epoch': 0.87}                                         
{'loss': 0.9084, 'grad_norm': 4.987779140472412, 'learning_rate': 2.596205158612511e-05, 'epoch': 0.89}                                         
{'loss': 0.932, 'grad_norm': 5.029862880706787, 'learning_rate': 2.587310999110584e-05, 'epoch': 0.9}                                           
{'loss': 0.9871, 'grad_norm': 7.372753143310547, 'learning_rate': 2.578416839608657e-05, 'epoch': 0.91}                                         
{'loss': 1.0479, 'grad_norm': 6.103275775909424, 'learning_rate': 2.5695226801067297e-05, 'epoch': 0.92}                                        
{'loss': 1.0541, 'grad_norm': 7.100104331970215, 'learning_rate': 2.560628520604803e-05, 'epoch': 0.93}                                         
{'loss': 0.8927, 'grad_norm': 6.1669440269470215, 'learning_rate': 2.551734361102876e-05, 'epoch': 0.94}                                        
{'loss': 0.9483, 'grad_norm': 5.483985900878906, 'learning_rate': 2.5428402016009486e-05, 'epoch': 0.95}                                        
{'loss': 0.9219, 'grad_norm': 12.062334060668945, 'learning_rate': 2.533946042099022e-05, 'epoch': 0.96}                                        
{'loss': 1.0134, 'grad_norm': 10.608499526977539, 'learning_rate': 2.5250518825970945e-05, 'epoch': 0.97}                                       
{'loss': 0.9929, 'grad_norm': 8.35515308380127, 'learning_rate': 2.5161577230951675e-05, 'epoch': 0.98}                                         
{'loss': 0.932, 'grad_norm': 5.029862880706787, 'learning_rate': 2.587310999110584e-05, 'epoch': 0.9}
{'loss': 0.9871, 'grad_norm': 7.372753143310547, 'learning_rate': 2.578416839608657e-05, 'epoch': 0.91}
{'loss': 1.0479, 'grad_norm': 6.103275775909424, 'learning_rate': 2.5695226801067297e-05, 'epoch': 0.92}
{'loss': 1.0541, 'grad_norm': 7.100104331970215, 'learning_rate': 2.560628520604803e-05, 'epoch': 0.93}
{'loss': 0.8927, 'grad_norm': 6.1669440269470215, 'learning_rate': 2.551734361102876e-05, 'epoch': 0.94}
{'loss': 0.9483, 'grad_norm': 5.483985900878906, 'learning_rate': 2.5428402016009486e-05, 'epoch': 0.95}
{'loss': 0.9219, 'grad_norm': 12.062334060668945, 'learning_rate': 2.533946042099022e-05, 'epoch': 0.96}
{'loss': 1.0134, 'grad_norm': 10.608499526977539, 'learning_rate': 2.5250518825970945e-05, 'epoch': 0.97}
{'loss': 0.9929, 'grad_norm': 8.35515308380127, 'learning_rate': 2.5161577230951675e-05, 'epoch': 0.98}
{'loss': 0.8927, 'grad_norm': 6.1669440269470215, 'learning_rate': 2.551734361102876e-05, 'epoch': 0.94}
{'loss': 0.9483, 'grad_norm': 5.483985900878906, 'learning_rate': 2.5428402016009486e-05, 'epoch': 0.95}
{'loss': 0.9219, 'grad_norm': 12.062334060668945, 'learning_rate': 2.533946042099022e-05, 'epoch': 0.96}
{'loss': 1.0134, 'grad_norm': 10.608499526977539, 'learning_rate': 2.5250518825970945e-05, 'epoch': 0.97}
{'loss': 0.9929, 'grad_norm': 8.35515308380127, 'learning_rate': 2.5161577230951675e-05, 'epoch': 0.98}
{'loss': 0.9483, 'grad_norm': 5.483985900878906, 'learning_rate': 2.5428402016009486e-05, 'epoch': 0.95}
{'loss': 0.9219, 'grad_norm': 12.062334060668945, 'learning_rate': 2.533946042099022e-05, 'epoch': 0.96}
{'loss': 1.0134, 'grad_norm': 10.608499526977539, 'learning_rate': 2.5250518825970945e-05, 'epoch': 0.97}
{'loss': 0.9929, 'grad_norm': 8.35515308380127, 'learning_rate': 2.5161577230951675e-05, 'epoch': 0.98}
{'loss': 0.9351, 'grad_norm': 8.965785026550293, 'learning_rate': 2.5072635635932405e-05, 'epoch': 0.99}
{'loss': 0.9929, 'grad_norm': 8.35515308380127, 'learning_rate': 2.5161577230951675e-05, 'epoch': 0.98}
{'loss': 0.9351, 'grad_norm': 8.965785026550293, 'learning_rate': 2.5072635635932405e-05, 'epoch': 0.99}
{'loss': 0.9351, 'grad_norm': 8.965785026550293, 'learning_rate': 2.5072635635932405e-05, 'epoch': 0.99}
{'eval_loss': 0.9517651200294495, 'eval_accuracy': 0.597, 'eval_macro_f1': 0.5986, 'eval_runtime': 4.9032, 'eval_samples_per_second': 203.948, '{'eval_loss': 0.9517651200294495, 'eval_accuracy': 0.597, 'eval_macro_f1': 0.5986, 'eval_runtime': 4.9032, 'eval_samples_per_second': 203.948, 'eval_steps_per_second': 50.987, 'epoch': 1.0}
{'loss': 0.9013, 'grad_norm': 5.1642279624938965, 'learning_rate': 2.4983694040913134e-05, 'epoch': 1.0}
}
{'loss': 0.8816, 'grad_norm': 6.669443130493164, 'learning_rate': 2.4094278090720428e-05, 'epoch': 1.11}
{'loss': 0.8025, 'grad_norm': 8.069458961486816, 'learning_rate': 2.4005336495701157e-05, 'epoch': 1.12}
{'loss': 0.7782, 'grad_norm': 9.190291404724121, 'learning_rate': 2.3560628520604802e-05, 'epoch': 1.17}
{'loss': 0.7667, 'grad_norm': 7.368748664855957, 'learning_rate': 2.3471686925585535e-05, 'epoch': 1.18}
 30%|██████████████████████████████▏                                                                   30%|█████████████████▊                   {'loss': 0.8298, 'grad_norm': 5.949039936065674, 'learning_rate': 2.338274533056626e-05, 'epoch': 1.19}
 30%|██████████████████████████████▌                                                                   30%|██████████████████                                          | 1125/3748 [14:04<48:28,  1.11s/it] {'loss': 0.8257, 'grad_norm': 7.076493740081787, 'learning_rate': 2.329380373554699e-05, 'epoch': 1.21}
{'loss': 0.8798, 'grad_norm': 8.340368270874023, 'learning_rate': 2.320486214052772e-05, 'epoch': 1.22}
{'loss': 0.8286, 'grad_norm': 10.820119857788086, 'learning_rate': 2.311592054550845e-05, 'epoch': 1.23}
{'loss': 0.8369, 'grad_norm': 7.962996006011963, 'learning_rate': 2.3026978950489177e-05, 'epoch': 1.24}
{'loss': 0.8192, 'grad_norm': 6.030323505401611, 'learning_rate': 2.293803735546991e-05, 'epoch': 1.25}
{'loss': 0.8655, 'grad_norm': 9.53646183013916, 'learning_rate': 2.284909576045064e-05, 'epoch': 1.26}
{'loss': 0.867, 'grad_norm': 10.458802223205566, 'learning_rate': 2.2760154165431366e-05, 'epoch': 1.27}
{'loss': 0.8288, 'grad_norm': 7.002464294433594, 'learning_rate': 2.26712125704121e-05, 'epoch': 1.28}
{'loss': 0.9264, 'grad_norm': 15.190763473510742, 'learning_rate': 2.2582270975392825e-05, 'epoch': 1.29}
{'loss': 0.8313, 'grad_norm': 8.461285591125488, 'learning_rate': 2.2493329380373555e-05, 'epoch': 1.3}
{'loss': 0.8532, 'grad_norm': 8.81216812133789, 'learning_rate': 2.2404387785354284e-05, 'epoch': 1.31}
{'loss': 0.9057, 'grad_norm': 6.210695266723633, 'learning_rate': 2.2315446190335014e-05, 'epoch': 1.32}
{'loss': 0.8637, 'grad_norm': 10.165294647216797, 'learning_rate': 2.222650459531574e-05, 'epoch': 1.33}
{'loss': 0.7935, 'grad_norm': 7.4941582679748535, 'learning_rate': 2.2137563000296473e-05, 'epoch': 1.34}
{'loss': 0.7492, 'grad_norm': 6.744422435760498, 'learning_rate': 2.2048621405277203e-05, 'epoch': 1.35}                                        
{'loss': 0.9494, 'grad_norm': 9.92222785949707, 'learning_rate': 2.195967981025793e-05, 'epoch': 1.37}                                          
{'loss': 0.7886, 'grad_norm': 6.187196254730225, 'learning_rate': 2.1870738215238662e-05, 'epoch': 1.38}                                        
{'loss': 0.8973, 'grad_norm': 8.942654609680176, 'learning_rate': 2.178179662021939e-05, 'epoch': 1.39}                                         
{'loss': 0.9671, 'grad_norm': 7.571562767028809, 'learning_rate': 2.169285502520012e-05, 'epoch': 1.4}                                          
{'loss': 0.8727, 'grad_norm': 8.142547607421875, 'learning_rate': 2.1603913430180848e-05, 'epoch': 1.41}                                        
{'loss': 0.862, 'grad_norm': 5.0385823249816895, 'learning_rate': 2.1514971835161578e-05, 'epoch': 1.42}                                        
{'loss': 0.7734, 'grad_norm': 6.356237411499023, 'learning_rate': 2.1426030240142307e-05, 'epoch': 1.43}                                        
{'loss': 0.772, 'grad_norm': 4.354554176330566, 'learning_rate': 2.1337088645123037e-05, 'epoch': 1.44}                                         
{'loss': 0.7524, 'grad_norm': 7.734911918640137, 'learning_rate': 2.1248147050103767e-05, 'epoch': 1.45}                                        
{'loss': 0.94, 'grad_norm': 10.959356307983398, 'learning_rate': 2.1159205455084493e-05, 'epoch': 1.46}                                         
{'loss': 0.8102, 'grad_norm': 6.835511684417725, 'learning_rate': 2.1070263860065226e-05, 'epoch': 1.47}                                        
{'loss': 0.9354, 'grad_norm': 13.630244255065918, 'learning_rate': 2.0981322265045952e-05, 'epoch': 1.48}                                       
{'loss': 0.7805, 'grad_norm': 9.451638221740723, 'learning_rate': 2.0892380670026682e-05, 'epoch': 1.49}                                        
{'loss': 0.8207, 'grad_norm': 7.589393615722656, 'learning_rate': 2.080343907500741e-05, 'epoch': 1.5}                                          
{'loss': 0.6751, 'grad_norm': 11.565713882446289, 'learning_rate': 2.071449747998814e-05, 'epoch': 1.51}                                        
{'loss': 0.8586, 'grad_norm': 7.800873756408691, 'learning_rate': 2.062555588496887e-05, 'epoch': 1.53}                                         
{'loss': 0.7004, 'grad_norm': 9.414961814880371, 'learning_rate': 2.05366142899496e-05, 'epoch': 1.54}                                          
{'loss': 0.8478, 'grad_norm': 5.8164381980896, 'learning_rate': 2.044767269493033e-05, 'epoch': 1.55}                                           
{'loss': 0.7936, 'grad_norm': 8.439643859863281, 'learning_rate': 2.0358731099911057e-05, 'epoch': 1.56}                                        
{'loss': 0.9351, 'grad_norm': 9.31948471069336, 'learning_rate': 2.026978950489179e-05, 'epoch': 1.57}                                          
{'loss': 0.8836, 'grad_norm': 6.238343715667725, 'learning_rate': 2.0180847909872516e-05, 'epoch': 1.58}                                        
{'loss': 0.8148, 'grad_norm': 7.358806133270264, 'learning_rate': 2.0091906314853246e-05, 'epoch': 1.59}                                        
{'loss': 0.9025, 'grad_norm': 7.6285247802734375, 'learning_rate': 2.000296471983398e-05, 'epoch': 1.6}                                         
{'loss': 0.8398, 'grad_norm': 8.603265762329102, 'learning_rate': 1.9914023124814705e-05, 'epoch': 1.61}                                        
{'loss': 0.8235, 'grad_norm': 6.886260509490967, 'learning_rate': 1.9825081529795435e-05, 'epoch': 1.62}                                        
{'loss': 0.8496, 'grad_norm': 8.110000610351562, 'learning_rate': 1.9736139934776164e-05, 'epoch': 1.63}                                        
{'loss': 0.7537, 'grad_norm': 9.26627254486084, 'learning_rate': 1.9647198339756894e-05, 'epoch': 1.64}                                         
{'loss': 0.8522, 'grad_norm': 8.556370735168457, 'learning_rate': 1.955825674473762e-05, 'epoch': 1.65}                                         
